id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
110;42;male;married;Campania;second-level master's degree;employed;si;over 24 months ;2;premium;partner;no;;;very much;enough;very;;tv series;drama;action;comedy;one-2 episodes;yes;late evening;contents;;
111;66;male;married;Campania;master's degree;retired;si;over 24 months ;4;standard;family;si;;netflix;very;very;very much;;movies;comedy;drama;action;one-2 episodes;no;early evening;loading speed;;
112;53;female;married;Campania;upper secondary school diploma;homemaker;no;;;;;;;;;;;no;tv series;romantic;action;drama;single episode;no;;;no need;
113;25;female;single;Campania;second-level master's degree;employed;si;over 24 months ;5;basic;partner;si;;netflix;very much;enough;enough;;movies;thriller;action;fantasy;one-2 episodes;no;early afternoon;contents;;
114;64;male;married;Campania;master's degree;employed;si;over 24 months ;2;standard;family;no;prime video ;prime video;very;very;very;;movies;action;comedy;drama;one-2 episodes;no;early evening;nothing;;
115;62;female;married;Campania;upper secondary school diploma;homemaker;no;;;;;;;;;;;no;tv series;comedy;action;romantic;single episode;no;;;no need;
116;64;female;married;Campania;upper secondary school diploma;employed;si;over 24 months ;2;basic;family;si;;netflix;a little;enough;enough;;movies;comedy;romantic;drama;one-2 episodes;no;late evening;contents;;
117;67;male;married;Campania;master's degree;employed;no;;;;;;;;;;;no;movies;action;fantasy;comedy;3-4 episodes;no;;;no need;
118;39;female;single;Campania;upper secondary school diploma;employed;si;over 24 months ;6;standard;partner;si;;netflix;very much;very;enough;;movies;other;fantasy;drama;3-4 episodes;yes;late evening;contents;;prime video
119;57;female;married;Campania;master's degree;employed;si;over 24 months ;2;premium;partner;no;dazn;dazn;very much;enough;very much;;tv series;thriller;comedy;action;one-2 episodes;yes;early evening;loading speed;;prime video
120;78;male;married;Campania;master's degree;retired;no;;;;;;;;;;;no;documentaries;comedy;action;drama;single episode;no;;;no need;
121;54;female;married;Campania;bachelor's degree;employed;si;13 to 24 months;7;standard;family;si;;netflix;very;very much;very;;tv series;comedy;drama;action;one-2 episodes;no;early evening;loading speed;;
122;31;female;single;Campania;bachelor's degree;employed;no;;;;;;;;;;;no;tv series;fantasy;romantic;horror;single episode;no;;;no need;
123;54;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;comedy;action;drama;single episode;yes;;;price;8.0
124;52;male;married;Lazio;master's degree;employed;si;7 to 12 months ;1;basic;family;no;dazn;dazn;very much;enough;enough;;tv series;action;comedy;drama;one-2 episodes;yes;late evening;loading speed;;apple tv
125;55;male;married;Puglia;upper secondary school diploma;employed;si;over 24 months ;2;standard;family;si;;netflix;very much;very much;very;;tv series;action;comedy;drama;one-2 episodes;yes;late evening;nothing;;
126;22;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;7;premium;partner;si;;netflix;very much;enough;enough;;tv series;fantasy;romantic;comedy;3-4 episodes;yes;late evening;contents;;prime video
127;55;female;married;Puglia;upper secondary school diploma;employed;si;over 24 months ;7;standard;family;si;;netflix;very;very;very;;tv series;action;romantic;thriller;3-4 episodes;no;late evening;contents;;
128;37;male;married;Puglia;first-level master's degree;employed;si;over 24 months ;1;basic;partner;no;dazn;dazn;very much;very;very;;movies;thriller;horror;action;single episode;yes;late afternoon;contents;;
129;49;female;married;Campania;lower secondary school diploma;homemaker;no;;;;;;;;;;;don't know;tv series;fantasy;romantic;drama;5-6 episodes;yes;;;other platforms;
130;26;female;single;Campania;master's degree;employed;si;over 24 months ;2;premium;;si;;netflix;very much;very much;very;;tv series;fantasy;thriller;drama;3-4 episodes;yes;late evening;nothing;;disney plus
131;60;male;married;Campania;master's degree;employed;no;;;;;;;;;;;no;documentaries;action;comedy;drama;single episode;no;;;no need;
132;35;female;cohabiting;Campania;upper secondary school diploma;homemaker;no;;;;;;;;;;;no;movies;comedy;drama;action;one-2 episodes;yes;;;no need;disney plus
133;50;female;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;drama;comedy;action;single episode;no;;;no need;
134;35;male;single;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;fantasy;action;comedy;one-2 episodes;no;;;no need;
135;21;female;single;Campania;bachelor's degree;student;si;over 24 months ;7;standard;;si;;netflix;very much;very;very;;tv series;thriller;drama;romantic;3-4 episodes;yes;late morning;contents;;
136;52;male;married;Campania;master's degree;employed;no;;;;;;;;;;;no;documentaries;fantasy;action;comedy;single episode;no;;;no need;
137;62;female;single;Campania;master's degree;employed;no;;;;;;;;;;;no;movies;comedy;drama;action;single episode;no;;;no need;
138;47;female;married;Campania;upper secondary school diploma;employed;si;over 24 months ;7;premium;family;si;;netflix;very much;very much;very much;;tv series;comedy;action;drama;7 or more;yes;early evening;nothing;;prime video
139;60;female;single;Campania;master's degree;employed;si;7 to 12 months ;3;standard;;si;;netflix;enough;very;enough;;movies;other;drama;romantic;one-2 episodes;no;late evening;personalization;;
140;25;female;cohabiting;Campania;first-level master's degree;job seeker;si;0 to 6 months;4;basic with ads;;si;;netflix;very much;very;enough;;tv series;thriller;other;action;3-4 episodes;yes;night;streaming quality;;prime video
141;53;female;cohabiting;Campania;second-level master's degree;employed;si;over 24 months ;7;premium;family;si;;netflix;very much;very much;very much;;other;fantasy;comedy;action;one-2 episodes;no;early evening;contents;;
142;65;female;widowed;Campania;bachelor's degree;retired;no;;;;;;;;;;;no;movies;action;romantic;comedy;one-2 episodes;no;;;price;
143;56;male;married;Campania;master's degree;employed;no;;;;;;;;;;;no;movies;action;comedy;drama;single episode;no;;;no need;
144;39;male;married;Campania;master's degree;employed;si;over 24 months ;4;premium;family;no;apple tv;apple tv;very much;very;very;;tv series;comedy;action;drama;one-2 episodes;yes;early evening;contents;;
145;57;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;tv series;action;comedy;fantasy;single episode;no;;;no need;
146;22;female;single;Campania;upper secondary school diploma;student;si;7 to 12 months ;1;standard;friends;no;prime video ;prime video;a little;not at all;not at all;;documentaries;horror;comedy;drama;one-2 episodes;no;late afternoon;streaming quality;;
147;30;male;single;Piemonte;master's degree;employed;si;over 24 months ;5;premium;friends;si;;netflix;very much;enough;enough;;movies;thriller;fantasy;action;one-2 episodes;yes;late evening;contents;;
148;56;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;tv series;drama;comedy;action;one-2 episodes;no;;;price;
149;63;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;documentaries;action;comedy;other;single episode;no;;;no need;
150;61;female;married;Campania;master's degree;employed;si;over 24 months ;0;basic;family;si;;netflix;enough;very;a little;;movies;comedy;drama;fantasy;one-2 episodes;yes;early evening;contents;;
151;28;male;single;Campania;upper secondary school diploma;employed;si;13 to 24 months;4;premium;;si;;netflix;very much;very much;very much;;movies;action;comedy;drama;3-4 episodes;no;night;contents;;
